																		
Time	Accelerometer									GyroScope								
	Xn	Yn	Zn	X	Y	Z	Xg	Yg	Zg	Xn	Yn	Zn	X	Y	Z	Xg	Yg	Zg
smp#36	-3892	-972	13908	-0.2375	-0.0593	0.8489	-2.3296	-0.5818	8.3246	-178	107	32	-2.7176	1.6336	0.4885	-0.0474	0.0285	0.085
smp#37	-3868	-952	13816	-0.2361	-0.0581	0.8433	-2.3152	-0.5698	8.2696	-187	121	28	-2.855	1.8473	0.4275	-0.0498	0.0322	0.075
smp#38	-3864	-900	13852	-0.2358	-0.0549	0.8455	-2.3128	-0.5387	8.2911	-184	107	32	-2.8092	1.6336	0.4885	-0.049	0.0285	0.085
smp#39	-3812	-836	13760	-0.2327	-0.051	0.8398	-2.2817	-0.5004	8.2361	-199	111	20	-3.0382	1.6947	0.3053	-0.053	0.0296	0.053
smp#40	-3888	-1012	13948	-0.2373	-0.0618	0.8513	-2.3272	-0.6057	8.3486	-190	105	37	-2.9008	1.6031	0.5649	-0.0506	0.028	0.099
smp#41	-3980	-984	13816	-0.2429	-0.0601	0.8433	-2.3822	-0.589	8.2696	-198	99	33	-3.0229	1.5115	0.5038	-0.0528	0.0264	0.088
smp#42	-3960	-968	13836	-0.2417	-0.0591	0.8445	-2.3703	-0.5794	8.2815	-187	113	41	-2.855	1.7252	0.626	-0.0498	0.0301	0.0109
smp#43	-3928	-1028	13740	-0.2397	-0.0627	0.8386	-2.3511	-0.6153	8.2241	-191	109	35	-2.916	1.6641	0.5344	-0.0509	0.029	0.093
smp#44	-3984	-1036	13932	-0.2432	-0.0632	0.8503	-2.3846	-0.6201	8.339	-208	109	33	-3.1756	1.6641	0.5038	-0.0554	0.029	0.088
smp#45	-3840	-1116	13860	-0.2344	-0.0681	0.8459	-2.2984	-0.668	8.2959	-156	137	41	-2.3817	2.0916	0.626	-0.0416	0.0365	0.0109
smp#46	-3872	-992	13812	-0.2363	-0.0605	0.843	-2.3176	-0.5938	8.2672	-192	121	38	-2.9313	1.8473	0.5802	-0.0512	0.0322	0.0101
smp#47	-3904	-1028	13868	-0.2383	-0.0627	0.8464	-2.3367	-0.6153	8.3007	-193	103	33	-2.9466	1.5725	0.5038	-0.0514	0.0274	0.088
smp#48	-3984	-904	13828	-0.2432	-0.0552	0.844	-2.3846	-0.5411	8.2768	-207	122	36	-3.1603	1.8626	0.5496	-0.0552	0.0325	0.096
smp#49	-3888	-1004	13936	-0.2373	-0.0613	0.8506	-2.3272	-0.6009	8.3414	-203	93	29	-3.0992	1.4198	0.4427	-0.0541	0.0248	0.077
smp#50	-3884	-952	13788	-0.2371	-0.0581	0.8416	-2.3248	-0.5698	8.2528	-201	98	24	-3.0687	1.4962	0.3664	-0.0536	0.0261	0.064
smp#51	-3840	-932	13756	-0.2344	-0.0569	0.8396	-2.2984	-0.5578	8.2337	-179	114	35	-2.7328	1.7405	0.5344	-0.0477	0.0304	0.093
smp#52	-4024	-1012	13820	-0.2456	-0.0618	0.8435	-2.4086	-0.6057	8.272	-198	112	30	-3.0229	1.7099	0.458	-0.0528	0.0298	0.08
smp#53	-4004	-976	13852	-0.2444	-0.0596	0.8455	-2.3966	-0.5842	8.2911	-194	107	44	-2.9618	1.6336	0.6718	-0.0517	0.0285	0.0117
smp#54	-3968	-968	13824	-0.2422	-0.0591	0.8438	-2.375	-0.5794	8.2744	-189	110	34	-2.8855	1.6794	0.5191	-0.0504	0.0293	0.091
smp#55	-3936	-920	13844	-0.2402	-0.0562	0.845	-2.3559	-0.5507	8.2863	-204	104	28	-3.1145	1.5878	0.4275	-0.0544	0.0277	0.075
smp#56	-3912	-940	13772	-0.2388	-0.0574	0.8406	-2.3415	-0.5626	8.2432	-193	107	34	-2.9466	1.6336	0.5191	-0.0514	0.0285	0.091
smp#57	-3908	-956	13904	-0.2385	-0.0583	0.8486	-2.3391	-0.5722	8.3222	-205	104	36	-3.1298	1.5878	0.5496	-0.0546	0.0277	0.096
smp#58	-3852	-936	13896	-0.2351	-0.0571	0.8481	-2.3056	-0.5602	8.3175	-200	96	20	-3.0534	1.4656	0.3053	-0.0533	0.0256	0.053
smp#59	-3868	-940	13788	-0.2361	-0.0574	0.8416	-2.3152	-0.5626	8.2528	-187	97	33	-2.855	1.4809	0.5038	-0.0498	0.0258	0.088
smp#60	-3936	-924	13796	-0.2402	-0.0564	0.842	-2.3559	-0.5531	8.2576	-208	103	37	-3.1756	1.5725	0.5649	-0.0554	0.0274	0.099
smp#61	-3868	-1004	13728	-0.2361	-0.0613	0.8379	-2.3152	-0.6009	8.2169	-217	114	38	-3.313	1.7405	0.5802	-0.0578	0.0304	0.0101
smp#62	-3928	-864	13796	-0.2397	-0.0527	0.842	-2.3511	-0.5171	8.2576	-197	118	40	-3.076	1.8015	0.6107	-0.0525	0.0314	0.0107
smp#63	-3960	-980	13828	-0.2417	-0.0598	0.844	-2.3703	-0.5866	8.2768	-198	95	39	-3.0229	1.4504	0.5954	-0.0528	0.0253	0.0104
smp#64	-3976	-1040	13932	-0.2427	-0.0635	0.8503	-2.3798	-0.6225	8.339	-192	116	27	-2.9313	1.771	0.4122	-0.0512	0.0309	0.072
smp#65	-3928	-892	13916	-0.2397	-0.0544	0.8494	-2.3511	-0.5339	8.3294	-195	115	32	-2.9771	1.7557	0.4885	-0.052	0.0306	0.085
smp#66	-3968	-992	13716	-0.2422	-0.0605	0.8372	-2.375	-0.5938	8.2097	-191	97	41	-2.916	1.4809	0.626	-0.0509	0.0258	0.0109
smp#67	-3872	-940	13864	-0.2363	-0.0574	0.8462	-2.3176	-0.5626	8.2983	-198	111	27	-3.0229	1.6947	0.4122	-0.0528	0.0296	0.072
smp#68	-3896	-992	13788	-0.2378	-0.0605	0.8416	-2.332	-0.5938	8.2528	-210	102	39	-3.2061	1.5573	0.5954	-0.056	0.0272	0.0104
smp#69	-3928	-956	13696	-0.2397	-0.0583	0.8359	-2.3511	-0.5722	8.1977	-187	101	34	-2.855	1.542	0.5191	-0.0498	0.0269	0.091
smp#70	-3940	-956	13740	-0.2405	-0.0583	0.8386	-2.3583	-0.5722	8.2241	-211	113	36	-3.2214	1.7252	0.5496	-0.0562	0.0301	0.096
smp#71	-3812	-1012	13784	-0.2327	-0.0618	0.8413	-2.2817	-0.6057	8.2504	-188	103	25	-2.8702	1.5725	0.3817	-0.0501	0.0274	0.067
smp#72	-3956	-1004	13756	-0.2415	-0.0613	0.8396	-2.3679	-0.6009	8.2337	-198	99	26	-3.0229	1.5115	0.3969	-0.0528	0.0264	0.069
smp#73	-3784	-1008	13912	-0.231	-0.0615	0.8491	-2.2649	-0.6033	8.327	-194	106	34	-2.9618	1.6183	0.5191	-0.0517	0.0282	0.091
smp#74	-3892	-964	13908	-0.2375	-0.0588	0.8489	-2.3296	-0.577	8.3246	-195	109	33	-2.9771	1.6641	0.5038	-0.052	0.029	0.088
smp#75	-3824	-1072	13848	-0.2334	-0.0654	0.8452	-2.2889	-0.6416	8.2887	-195	114	19	-2.9771	1.7405	0.2901	-0.052	0.0304	0.051
