42#     4525    |-4488  |5376   |2738   |-5.3726        |6.4356 |3.2777 |-172   |100    |43     |-2.6260        |1.5267 |0.6565
43#     4633    |-4428  |5382   |2724   |-5.3008        |6.4428 |3.2609 |-162   |88     |44     |-2.4733        |1.3435 |0.6718
44#     4741    |-4552  |5302   |2782   |-5.4492        |6.3470 |3.3303 |-197   |111    |48     |-3.076 |1.6947 |0.7328
45#     4849    |-4546  |5292   |2730   |-5.4420        |6.3351 |3.2681 |-193   |119    |37     |-2.9466        |1.8168 |0.5649
46#     4957    |-4554  |5304   |2760   |-5.4516        |6.3494 |3.3040 |-210   |133    |35     |-3.2061        |2.0305 |0.5344
47#     5065    |-4486  |5352   |2714   |-5.3702        |6.4069 |3.2489 |-224   |113    |34     |-3.4198        |1.7252 |0.5191
48#     5173    |-4410  |5394   |2730   |-5.2792        |6.4572 |3.2681 |-219   |94     |24     |-3.3435        |1.4351 |0.3664
49#     5281    |-4472  |5390   |2670   |-5.3534        |6.4524 |3.1963 |-193   |109    |39     |-2.9466        |1.6641 |0.5954
50#     5389    |-4478  |5370   |2688   |-5.3606        |6.4284 |3.2178 |-153   |83     |45     |-2.3359        |1.2672 |0.6870
51#     5521    |-4532  |5356   |2736   |-5.4253        |6.4117 |3.2753 |-152   |88     |56     |-2.3206        |1.3435 |0.8550
52#     5629    |-4620  |5314   |2728   |-5.5306        |6.3614 |3.2657 |-182   |101    |45     |-2.7786        |1.5420 |0.6870
53#     5737    |-4520  |5338   |2780   |-5.4109        |6.3901 |3.3279 |-191   |114    |42     |-2.9160        |1.7405 |0.6412
54#     5845    |-4520  |5328   |2778   |-5.4109        |6.3782 |3.3255 |-223   |117    |40     |-3.4046        |1.7863 |0.6107
55#     5953    |-4480  |5328   |2662   |-5.3630        |6.3782 |3.1867 |-230   |130    |32     |-3.5115        |1.9847 |0.4885
56#     6061    |-4462  |5366   |2730   |-5.3415        |6.4236 |3.2681 |-200   |103    |39     |-3.0534        |1.5725 |0.5954
57#     6169    |-4484  |5390   |2772   |-5.3678        |6.4524 |3.3184 |-168   |102    |32     |-2.5649        |1.5573 |0.4885
58#     6277    |-4472  |5362   |2680   |-5.3534        |6.4189 |3.2082 |-156   |100    |46     |-2.3817        |1.5267 |0.7023
59#     6385    |-4482  |5330   |2760   |-5.3654        |6.3805 |3.3040 |-170   |85     |42     |-2.5954        |1.2977 |0.6412
60#     6517    |-4470  |5394   |2712   |-5.3510        |6.4572 |3.2465 |-188   |108    |37     |-2.8702        |1.6489 |0.5649
61#     6625    |-4488  |5348   |2692   |-5.3726        |6.4021 |3.2226 |-203   |112    |43     |-3.0992        |1.7099 |0.6565
62#     6733    |-4542  |5426   |2748   |-5.4372        |6.4955 |3.2896 |-219   |133    |31     |-3.3435        |2.0305 |0.4733
63#     6841    |-4550  |5344   |2810   |-5.4468        |6.3973 |3.3639 |-224   |114    |34     |-3.4198        |1.7405 |0.5191
64#     6949    |-4456  |5342   |2754   |-5.3343        |6.3949 |3.2968 |-205   |115    |29     |-3.1298        |1.7557 |0.4427
65#     7057    |-4440  |5390   |2746   |-5.3151        |6.4524 |3.2872 |-160   |101    |47     |-2.4427        |1.5420 |0.7176
66#     7165    |-4502  |5378   |2728   |-5.3893        |6.4380 |3.2657 |-170   |99     |42     |-2.5954        |1.5115 |0.6412
67#     7273    |-4522  |5372   |2734   |-5.4133        |6.4308 |3.2729 |-157   |98     |34     |-2.3969        |1.4962 |0.5191
68#     7381    |-4550  |5330   |2718   |-5.4468        |6.3805 |3.2537 |-202   |109    |33     |-3.0840        |1.6641 |0.5038
69#     7513    |-4480  |5308   |2736   |-5.3630        |6.3542 |3.2753 |-199   |120    |39     |-3.0382        |1.8321 |0.5954
70#     7621    |-4498  |5298   |2700   |-5.3846        |6.3422 |3.2322 |-229   |125    |37     |-3.4962        |1.9084 |0.5649
71#     7729    |-4496  |5324   |2728   |-5.3822        |6.3734 |3.2657 |-231   |124    |41     |-3.5267        |1.8931 |0.6260
72#     7837    |-4442  |5382   |2700   |-5.3175        |6.4428 |3.2322 |-199   |110    |38     |-3.0382        |1.6794 |0.5802
73#     7945    |-4438  |5350   |2750   |-5.3127        |6.4045 |3.2920 |-199   |112    |34     |-3.0382        |1.7099 |0.5191
74#     8053    |-4446  |5390   |2684   |-5.3223        |6.4524 |3.2130 |-165   |95     |48     |-2.5191        |1.4504 |0.7328
75#     8161    |-4504  |5360   |2696   |-5.3917        |6.4165 |3.2274 |-175   |108    |46     |-2.6718        |1.6489 |0.7023
76#     8269    |-4532  |5312   |2728   |-5.4253        |6.3590 |3.2657 |-209   |114    |29     |-3.1908        |1.7405 |0.4427
77#     8377    |-4502  |5340   |2700   |-5.3893        |6.3925 |3.2322 |-214   |119    |27     |-3.2672        |1.8168 |0.4122
78#     8510    |-4490  |5358   |2746   |-5.3750        |6.4141 |3.2872 |-237   |121    |20     |-3.6183        |1.8473 |0.3053
79#     8618    |-4436  |5368   |2646   |-5.3103        |6.4260 |3.1675 |-229   |125    |28     |-3.4962        |1.9084 |0.4275
